id,name,city,birthdate,purchases,total_amount
280,Catalina Ramírez,Rancagua,2001-05-08,3,1818959
311,Daniela Rios,Rancagua,1976-05-30,0,0
367,Valentina Rios,Santiago,1994-06-09,1,487890
99,Antonia Silva,Antofagasta,1985-04-19,2,719240
557,Antonia Torres,Valparaíso,1966-02-19,2,385900
595,Mateo Flores,Concepción,2000-08-14,0,0
488,Martina Riquelme,Antofagasta,1999-01-05,1,374448
266,María Hernández,Concepción,2010-10-16,2,2262722
205,Joaquín Soto,Concepción,1978-10-21,1,76941
483,Joaquín Muñoz,Rancagua,1988-01-13,2,3896023
309,Martina Vargas,Temuco,2010-10-09,0,0
237,Ignacio Rojas,Concepción,1976-05-20,0,0
156,Catalina Ramírez,Iquique,1980-04-29,2,1676408
182,Camila González,Santiago,2010-09-19,1,108820
147,Tomás Aravena,Puerto Montt,2007-06-14,2,374329
314,Camila Torres,Valparaíso,1982-11-07,4,301422
75,Mateo Mendoza,Santiago,2005-01-03,0,0
287,Fernanda Soto,Santiago,1996-03-21,2,129152
555,Tomás Silva,Antofagasta,1985-03-17,1,272346
34,Sofía García,Santiago,1989-07-21,2,378981
328,Lucas López,Santiago,1999-12-02,0,0
587,Tomás Riquelme,La Serena,1984-07-24,1,286680
486,Antonia Riquelme,Valparaíso,1976-06-03,3,796511
59,Daniela Torres,Santiago,1996-11-08,1,27045
307,Camila Riquelme,Santiago,1958-10-25,1,9667
57,Pedro Torres,Rancagua,1983-09-07,0,0
347,Vicente Muñoz,Santiago,1986-07-02,2,210907
136,Antonio Silva,Valparaíso,2006-09-10,3,1326297
418,Sofía González,Antofagasta,2003-02-08,1,81631
269,Catalina Muñoz,Santiago,2002-12-19,1,85657
84,Catalina Díaz,Santiago,1980-06-16,2,107294
515,Joaquín Contreras,Santiago,2004-11-27,3,3415124
374,Joaquín Flores,Valparaíso,1975-03-09,2,1224018
408,Mateo Fuentes,Santiago,1979-02-23,0,0
190,Gabriel López,Antofagasta,1999-12-21,1,24879
386,Catalina Martínez,Santiago,1992-09-04,0,0
441,Camila Silva,Valparaíso,1972-07-12,0,0
512,Antonio Soto,Santiago,2001-03-10,1,111811
427,Fernanda Hernández,Santiago,2010-06-29,1,76941
143,Camila Contreras,Santiago,1999-03-16,1,1193524
130,Ignacio Díaz,Concepción,1988-02-18,0,0
74,Valentina Soto,La Serena,1978-03-24,0,0
178,Fernanda López,Valparaíso,1984-03-24,0,0
125,Lucas Riquelme,Antofagasta,1959-01-14,1,398008
511,Sofía Ramírez,Santiago,1976-11-02,3,77498
446,Catalina Aravena,Santiago,1985-08-16,20,5689373
548,Daniela González,Santiago,1974-04-27,3,382393
153,Isidora Silva,Santiago,1974-12-29,0,0
528,Isidora Rios,Iquique,1986-08-11,2,752115
409,Valentina Contreras,Antofagasta,1979-03-11,0,0
531,Ana Ramírez,Rancagua,1981-11-21,1,45832
338,Martina Rios,Santiago,1986-04-07,1,626405
121,Joaquín Riquelme,Concepción,1989-12-04,1,31508
478,Fernanda García,Santiago,2003-11-20,2,71266
257,Gabriel González,Concepción,1991-11-23,0,0
120,Mateo Riquelme,Santiago,2001-05-22,1,62022
248,Isidora López,Santiago,1981-02-18,4,694758
569,Vicente García,Chillán ,,1,32068
104,Joaquín Díaz,Rancagua,2004-08-16,1,84562
215,Antonio Torres,Santiago,,0,0
64,Fernanda Rios,Santiago,1994-03-06,4,627516
213,Lucas Silva,Santiago,2008-04-05,1,27643
236,Vicente Rojas,Antofagasta,1999-10-18,3,2886174
262,Martina Pérez,Santiago,1989-09-06,0,0
164,Ignacio Torres,Santiago,1972-12-15,0,0
154,Martina González,Santiago,1991-10-10,0,0
438,María Muñoz,Santiago,1984-01-21,0,0
112,Camila Vargas,Santiago,1974-05-22,2,76495
38,Mateo García,Santiago,1977-03-22,2,1914611
375,Sofía Torres,Antofagasta,1989-08-16,0,0
460,Camila Soto,Temuco,1983-11-12,1,12575
320,Catalina García,Santiago,1993-12-21,1,47045
398,María Ramírez,Santiago,1995-12-03,0,0
244,Lucas Riquelme,Santiago,1991-08-24,0,0
108,María Hernández,Santiago,1989-08-04,1,45458
371,Joaquín Ramírez,Santiago,1979-01-12,0,0
506,Pedro Hernández,Temuco,1983-01-04,0,0
583,Antonia Rojas,Santiago,1980-03-27,0,0
482,Daniela Flores,Santiago,2010-09-04,0,0
65,Martina Hernández,Chillán ,1996-12-30,2,587596
484,Daniela Vargas,Santiago,1993-11-10,0,0
82,Vicente Hernández,Santiago,2007-12-08,2,507493
222,Martina Flores,Concepción,2010-10-08,0,0
410,Martina Pérez,Valparaíso,1986-01-14,1,7653
440,Daniela Soto,Santiago,2026-09-27,2,194195
444,Joaquín Martínez,Santiago,2004-08-25,1,58605
54,Joaquín López,Concepción,1990-11-03,3,180204
559,Isidora Fuentes,Antofagasta,1969-12-25,1,7270
70,Camila Riquelme,Santiago,1993-07-06,2,599454
452,Valentina Silva,Valparaíso,1994-09-28,0,0
449,Catalina Fuentes,Santiago,2006-08-19,3,1993218
465,Fernanda Pérez,Santiago,1993-11-10,4,1107029
462,Martina Ramírez,Santiago,1981-06-15,1,3395528
283,Sofía Silva,Valparaíso,1979-04-05,0,0
496,Ignacio Rojas,Iquique,1995-10-16,0,0
